name,artist,popularity,id,label,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
Someone Like You,['Adele'],16,6QPKYGnAW9QozVz2dSWqRg,pop,0.554,0.321,9,-8.251,1,0.028,0.893,0.0,0.0996,0.288,135.047,audio_features,spotify:track:6QPKYGnAW9QozVz2dSWqRg,https://api.spotify.com/v1/tracks/6QPKYGnAW9QozVz2dSWqRg,https://api.spotify.com/v1/audio-analysis/6QPKYGnAW9QozVz2dSWqRg,285240,4
Sweet but Psycho,['Ava Max'],14,25sgk305KZfyuqVBQIahim,pop,0.719,0.704,1,-4.724,1,0.0476,0.0691,0.0,0.166,0.628,133.002,audio_features,spotify:track:25sgk305KZfyuqVBQIahim,https://api.spotify.com/v1/tracks/25sgk305KZfyuqVBQIahim,https://api.spotify.com/v1/audio-analysis/25sgk305KZfyuqVBQIahim,187436,4
Last Friday Night (T.G.I.F.),['Katy Perry'],75,455AfCsOhhLPRc68sE01D8,pop,0.649,0.815,3,-3.796,0,0.0415,0.00125,4.31e-05,0.671,0.765,126.03,audio_features,spotify:track:455AfCsOhhLPRc68sE01D8,https://api.spotify.com/v1/tracks/455AfCsOhhLPRc68sE01D8,https://api.spotify.com/v1/audio-analysis/455AfCsOhhLPRc68sE01D8,230747,4
Happier,['Ed Sheeran'],81,2RttW7RAu5nOAfq6YFvApB,pop,0.522,0.385,0,-7.355,1,0.0288,0.536,0.0,0.135,0.236,89.792,audio_features,spotify:track:2RttW7RAu5nOAfq6YFvApB,https://api.spotify.com/v1/tracks/2RttW7RAu5nOAfq6YFvApB,https://api.spotify.com/v1/audio-analysis/2RttW7RAu5nOAfq6YFvApB,207520,4
In the Name of Love,"['Martin Garrix', 'Bebe Rexha']",77,23L5CiUhw2jV1OIMwthR3S,pop,0.501,0.519,4,-5.88,0,0.0409,0.109,0.0,0.454,0.168,133.99,audio_features,spotify:track:23L5CiUhw2jV1OIMwthR3S,https://api.spotify.com/v1/tracks/23L5CiUhw2jV1OIMwthR3S,https://api.spotify.com/v1/audio-analysis/23L5CiUhw2jV1OIMwthR3S,195707,4
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",['Justin Timberlake'],77,6JV2JOEocMgcZxYSZelKcc,pop,0.667,0.83,0,-5.715,1,0.0749,0.0123,0.0,0.191,0.701,113.03,audio_features,spotify:track:6JV2JOEocMgcZxYSZelKcc,https://api.spotify.com/v1/tracks/6JV2JOEocMgcZxYSZelKcc,https://api.spotify.com/v1/audio-analysis/6JV2JOEocMgcZxYSZelKcc,236002,4
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",['Justin Timberlake'],77,6JV2JOEocMgcZxYSZelKcc,pop,0.667,0.83,0,-5.715,1,0.0749,0.0123,0.0,0.191,0.701,113.03,audio_features,spotify:track:6JV2JOEocMgcZxYSZelKcc,https://api.spotify.com/v1/tracks/6JV2JOEocMgcZxYSZelKcc,https://api.spotify.com/v1/audio-analysis/6JV2JOEocMgcZxYSZelKcc,236002,4
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",['Justin Timberlake'],77,6JV2JOEocMgcZxYSZelKcc,pop,0.667,0.83,0,-5.715,1,0.0749,0.0123,0.0,0.191,0.701,113.03,audio_features,spotify:track:6JV2JOEocMgcZxYSZelKcc,https://api.spotify.com/v1/tracks/6JV2JOEocMgcZxYSZelKcc,https://api.spotify.com/v1/audio-analysis/6JV2JOEocMgcZxYSZelKcc,236002,4
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",['Justin Timberlake'],77,6JV2JOEocMgcZxYSZelKcc,pop,0.667,0.83,0,-5.715,1,0.0749,0.0123,0.0,0.191,0.701,113.03,audio_features,spotify:track:6JV2JOEocMgcZxYSZelKcc,https://api.spotify.com/v1/tracks/6JV2JOEocMgcZxYSZelKcc,https://api.spotify.com/v1/audio-analysis/6JV2JOEocMgcZxYSZelKcc,236002,4
One Kiss (with Dua Lipa),"['Calvin Harris', 'Dua Lipa']",82,7ef4DlsgrMEH11cDZd32M6,pop,0.791,0.862,9,-3.24,0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,audio_features,spotify:track:7ef4DlsgrMEH11cDZd32M6,https://api.spotify.com/v1/tracks/7ef4DlsgrMEH11cDZd32M6,https://api.spotify.com/v1/audio-analysis/7ef4DlsgrMEH11cDZd32M6,214847,4
It Ain't Me (with Selena Gomez),"['Kygo', 'Selena Gomez']",76,3eR23VReFzcdmS7TYCrhCe,pop,0.64,0.533,0,-6.596,1,0.0706,0.119,0.0,0.0864,0.515,99.968,audio_features,spotify:track:3eR23VReFzcdmS7TYCrhCe,https://api.spotify.com/v1/tracks/3eR23VReFzcdmS7TYCrhCe,https://api.spotify.com/v1/audio-analysis/3eR23VReFzcdmS7TYCrhCe,220781,4
Closer,"['The Chainsmokers', 'Halsey']",84,7BKLCZ1jbUBVqRi2FVlTVw,pop,0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01,audio_features,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,https://api.spotify.com/v1/tracks/7BKLCZ1jbUBVqRi2FVlTVw,https://api.spotify.com/v1/audio-analysis/7BKLCZ1jbUBVqRi2FVlTVw,244960,4
Nothing Breaks Like a Heart (feat. Miley Cyrus),"['Mark Ronson', 'Miley Cyrus']",74,27rdGxbavYJeBphck5MZAF,pop,0.601,0.794,7,-5.844,0,0.0671,0.00987,1.36e-06,0.388,0.244,114.066,audio_features,spotify:track:27rdGxbavYJeBphck5MZAF,https://api.spotify.com/v1/tracks/27rdGxbavYJeBphck5MZAF,https://api.spotify.com/v1/audio-analysis/27rdGxbavYJeBphck5MZAF,217467,4
More Than You Know,['Axwell /\\ Ingrosso'],80,6h5PAsRni4IRlxWr6uDPTP,pop,0.646,0.741,5,-4.973,0,0.034,0.0275,0.0,0.312,0.571,123.077,audio_features,spotify:track:6h5PAsRni4IRlxWr6uDPTP,https://api.spotify.com/v1/tracks/6h5PAsRni4IRlxWr6uDPTP,https://api.spotify.com/v1/audio-analysis/6h5PAsRni4IRlxWr6uDPTP,203000,4
Solo (feat. Demi Lovato),"['Clean Bandit', 'Demi Lovato']",74,6kPJZM97LwdG9QIsT7khp6,pop,0.737,0.636,11,-4.546,0,0.0437,0.0441,6.66e-05,0.35,0.565,105.005,audio_features,spotify:track:6kPJZM97LwdG9QIsT7khp6,https://api.spotify.com/v1/tracks/6kPJZM97LwdG9QIsT7khp6,https://api.spotify.com/v1/audio-analysis/6kPJZM97LwdG9QIsT7khp6,222653,4
"thank u, next",['Ariana Grande'],82,3e9HZxeyfWwjeyPAMmWSSQ,pop,0.717,0.653,1,-5.634,1,0.0658,0.229,0.0,0.101,0.412,106.966,audio_features,spotify:track:3e9HZxeyfWwjeyPAMmWSSQ,https://api.spotify.com/v1/tracks/3e9HZxeyfWwjeyPAMmWSSQ,https://api.spotify.com/v1/audio-analysis/3e9HZxeyfWwjeyPAMmWSSQ,207320,4
Outside (feat. Ellie Goulding),"['Calvin Harris', 'Ellie Goulding']",78,7MmG8p0F9N3C4AXdK6o6Eb,pop,0.646,0.823,2,-4.123,0,0.0394,0.213,0.0,0.322,0.418,128.035,audio_features,spotify:track:7MmG8p0F9N3C4AXdK6o6Eb,https://api.spotify.com/v1/tracks/7MmG8p0F9N3C4AXdK6o6Eb,https://api.spotify.com/v1/audio-analysis/7MmG8p0F9N3C4AXdK6o6Eb,227267,4
What Do You Mean?,['Justin Bieber'],77,4B0JvthVoAAuygILe3n4Bs,pop,0.845,0.567,5,-8.118,0,0.0956,0.59,0.00142,0.0811,0.793,125.02,audio_features,spotify:track:4B0JvthVoAAuygILe3n4Bs,https://api.spotify.com/v1/tracks/4B0JvthVoAAuygILe3n4Bs,https://api.spotify.com/v1/audio-analysis/4B0JvthVoAAuygILe3n4Bs,205680,4
Without Me,['Halsey'],80,5p7ujcrUXASCNwRaWNHR1C,pop,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,audio_features,spotify:track:5p7ujcrUXASCNwRaWNHR1C,https://api.spotify.com/v1/tracks/5p7ujcrUXASCNwRaWNHR1C,https://api.spotify.com/v1/audio-analysis/5p7ujcrUXASCNwRaWNHR1C,201661,4
